	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	track_name	artist	genre
9	0.765	0.656	5	-6.112	1	0.0504	0.00364	0.00868	0.0918	0.545	119.997	247533	4	How You Get The Girl	Taylor Swift	POP
10	0.481	0.435	4	-8.795	1	0.0321	0.678	0.0	0.0928	0.107	143.95	250093	4	This Love	Taylor Swift	POP
11	0.602	0.755	0	-4.991	1	0.071	0.245	0.0	0.178	0.495	159.965	195707	4	I Know Places	Taylor Swift	POP
12	0.815	0.377	4	-7.754	1	0.0346	0.232	0.0	0.1	0.211	103.97	271000	4	Clean	Taylor Swift	POP
13	0.422	0.692	3	-5.447	1	0.0549	0.0493	2.57e-05	0.177	0.197	184.014	245560	4	Wonderland	Taylor Swift	POP
14	0.474	0.48	2	-8.894	1	0.0622	0.707	0.000108	0.0903	0.319	170.109	267107	4	You Are In Love	Taylor Swift	POP
15	0.633	0.889	5	-5.87	1	0.0715	0.00463	0.000458	0.0658	0.584	121.956	230467	4	New Romantics	Taylor Swift	POP
16	0.592	0.128	9	-17.932	0	0.589	0.829	0.0	0.527	0.15	78.828	216333	4	I Know Places - Voice Memo	Taylor Swift	POP
17	0.781	0.357	0	-16.394	1	0.912	0.717	0.0	0.185	0.645	118.317	107133	4	I Wish You Would - Voice Memo	Taylor Swift	POP
18	0.675	0.234	5	-15.064	0	0.721	0.801	0.0	0.657	0.578	127.296	131187	4	Blank Space - Voice Memo	Taylor Swift	POP
0	0.729	0.475	8	-4.985	1	0.0364	0.378	0.0	0.12	0.371	62.52	212267	3	imagine	Ariana Grande	POP
1	0.647	0.309	7	-7.948	0	0.0366	0.78	7.41e-06	0.202	0.195	87.045	171573	4	needy	Ariana Grande	POP
2	0.747	0.458	6	-6.891	1	0.303	0.451	0.0	0.252	0.47	75.029	182000	4	NASA	Ariana Grande	POP
3	0.758	0.665	2	-5.188	0	0.0774	0.0815	0.000157	0.216	0.643	151.976	216893	4	bloodline	Ariana Grande	POP
4	0.45	0.619	9	-7.412	1	0.372	0.329	0.0	0.319	0.427	83.3	208880	4	fake smile	Ariana Grande	POP
5	0.847	0.579	1	-5.314	1	0.0719	0.0268	0.0545	0.102	0.569	137.998	267107	4	bad idea	Ariana Grande	POP
6	0.671	0.714	7	-5.373	1	0.21	0.0844	1.48e-06	0.0568	0.477	105.137	140693	3	make up	Ariana Grande	POP
7	0.287	0.364	9	-8.295	1	0.0306	0.418	1.8e-05	0.185	0.11	103.777	271467	4	ghostin	Ariana Grande	POP
8	0.662	0.6	0	-6.402	1	0.0703	0.173	0.000137	0.109	0.331	134.979	222947	4	in my head	Ariana Grande	POP
9	0.778	0.317	1	-10.732	0	0.334	0.592	0.0	0.0881	0.327	140.048	178627	4	7 rings	Ariana Grande	POP
10	0.717	0.653	1	-5.634	1	0.0658	0.229	0.0	0.101	0.412	106.966	207320	4	thank u, next	Ariana Grande	POP
11	0.726	0.554	5	-5.29	0	0.0917	0.0421	0.0	0.106	0.335	169.999	190440	4	break up with your girlfriend, i'm bored	Ariana Grande	POP
0	0.499	0.462	0	-5.308	1	0.0312	0.801	0.0	0.0946	0.599	127.698	157710	4	shut up	Ariana Grande	POP
1	0.83	0.585	0	-6.476	1	0.094	0.237	0.0	0.248	0.485	109.978	173711	4	34+35	Ariana Grande	POP
2	0.789	0.742	10	-5.664	0	0.0652	0.0681	0.0	0.166	0.661	116.965	167990	4	motive (with Doja Cat)	Ariana Grande	POP
3	0.719	0.607	8	-5.156	1	0.165	0.08	0.0	0.125	0.464	128.006	149900	4	just like magic	Ariana Grande	POP
4	0.411	0.522	0	-7.295	1	0.0981	0.519	0.0	0.398	0.382	88.332	239949	1	off the table (with The Weeknd)	Ariana Grande	POP
5	0.739	0.516	0	-7.154	1	0.0539	0.67	0.0	0.151	0.434	120.109	183874	4	six thirty	Ariana Grande	POP
6	0.552	0.599	1	-5.75	0	0.0404	0.0703	0.0	0.0986	0.0916	161.884	208457	4	safety net (feat. Ty Dolla $ign)	Ariana Grande	POP
7	0.686	0.526	0	-6.842	1	0.0374	0.0815	7.75e-06	0.144	0.372	92.013	158436	4	my hair	Ariana Grande	POP
8	0.772	0.506	6	-6.558	0	0.139	0.0814	1.1e-05	0.182	0.456	127.894	200733	4	nasty	Ariana Grande	POP
9	0.688	0.455	11	-8.632	0	0.199	0.186	0.0	0.0794	0.557	87.865	132279	4	west side	Ariana Grande	POP
10	0.688	0.573	10	-5.03	0	0.208	0.0686	0.0	0.0749	0.553	110.034	179861	4	love language	Ariana Grande	POP
11	0.737	0.802	0	-4.771	1	0.0878	0.468	0.0	0.0931	0.682	144.015	172325	4	positions	Ariana Grande	POP
12	0.624	0.672	0	-5.334	1	0.106	0.0967	0.0	0.155	0.26	159.852	146959	4	obvious	Ariana Grande	POP
13	0.487	0.534	0	-5.664	0	0.0555	0.36	0.0	0.1	0.173	131.798	201882	4	pov	Ariana Grande	POP
14	0.639	0.544	5	-9.5	0	0.0383	0.175	2.44e-05	0.14	0.179	118.158	76742	4	someone like u - interlude	Ariana Grande	POP
15	0.698	0.708	9	-4.943	0	0.0454	0.0251	0.0	0.124	0.322	115.036	122174	4	test drive	Ariana Grande	POP
16	0.659	0.662	5	-5.768	1	0.434	0.211	0.0	0.228	0.704	109.957	182438	4	34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix	Ariana Grande	POP
17	0.726	0.667	5	-5.956	0	0.0617	0.37	0.0	0.118	0.434	100.053	124282	4	worst behavior	Ariana Grande	POP
18	0.734	0.475	9	-7.77	1	0.0403	0.317	1.41e-06	0.113	0.217	134.119	129080	4	main thing	Ariana Grande	POP
0	0.671	0.771	7	-4.821	0	0.0316	0.00492	7.28e-06	0.354	0.436	90.003	223546	4	Roar	Katy Perry	POP
1	0.622	0.839	4	-4.788	0	0.0843	0.0222	0.0	0.0781	0.403	126.033	224216	4	Legendary Lovers	Katy Perry	POP
2	0.719	0.674	11	-5.122	1	0.0681	0.0879	3.75e-06	0.112	0.843	125.992	215042	4	Birthday	Katy Perry	POP
3	0.631	0.908	6	-4.842	0	0.0391	0.00144	0.0	0.23	0.821	128.009	222449	4	Walking On Air	Katy Perry	POP
4	0.432	0.725	7	-4.862	1	0.0431	0.00273	0.0	0.208	0.353	128.902	228879	4	Unconditionally	Katy Perry	POP
5	0.647	0.585	6	-6.123	1	0.0512	0.00314	0.0	0.165	0.353	131.934	215672	4	Dark Horse	Katy Perry	POP
6	0.69	0.636	9	-6.028	0	0.0457	0.0203	0.0	0.147	0.799	96.002	204285	4	This Is How We Do	Katy Perry	POP
7	0.514	0.817	4	-4.269	0	0.0482	0.0278	0.0	0.137	0.547	129.983	227821	4	International Smile	Katy Perry	POP
8	0.55	0.624	2	-5.372	1	0.0406	0.0372	0.0	0.123	0.34	125.007	203362	4	Ghost	Katy Perry	POP
9	0.578	0.623	1	-6.002	1	0.0429	0.384	0.0	0.108	0.424	142.9	232675	4	Love Me	Katy Perry	POP
10	0.774	0.769	7	-3.798	1	0.093	0.118	0.0	0.0938	0.245	112.941	226598	4	This Moment	Katy Perry	POP
11	0.625	0.645	0	-7.937	1	0.057	0.269	0.0	0.0645	0.422	96.047	231631	4	Double Rainbow	Katy Perry	POP
12	0.546	0.367	10	-7.987	1	0.0265	0.688	0.0	0.11	0.221	81.481	268791	4	By The Grace Of God	Katy Perry	POP
0	0.719	0.798	10	-4.582	1	0.0361	0.0162	2.34e-06	0.134	0.591	120.011	227741	4	Teenage Dream	Katy Perry	POP
1	0.652	0.812	3	-3.797	0	0.0409	0.00125	3.01e-05	0.667	0.72	126.023	230733	4	Last Friday Night (T.G.I.F.)	Katy Perry	POP
2	0.788	0.753	0	-3.71	1	0.0536	0.0038	0.0	0.18	0.403	125.005	234653	4	California Gurls	Katy Perry	POP
3	0.638	0.832	8	-5.039	1	0.049	0.141	0.0	0.113	0.648	124.071	227893	4	Firework	Katy Perry	POP
4	0.816	0.751	0	-3.132	1	0.0421	0.0502	0.0	0.166	0.945	139.981	231933	4	Peacock	Katy Perry	POP
5	0.696	0.784	1	-3.932	1	0.0788	0.00591	0.0	0.0834	0.753	134.942	272881	4	Circle The Drain	Katy Perry	POP
6	0.691	0.795	1	-4.021	0	0.0355	0.000812	1.02e-06	0.156	0.876	133.971	227333	4	The One That Got Away	Katy Perry	POP
7	0.602	0.863	5	-5.423	0	0.0773	0.0178	0.0	0.389	0.732	150.183	206373	4	E.T.	Katy Perry	POP
8	0.721	0.644	7	-6.395	1	0.0401	0.0372	0.0	0.128	0.516	120.011	248533	4	Who Am I Living For?	Katy Perry	POP
9	0.557	0.584	0	-6.275	1	0.0375	0.103	0.0	0.311	0.22	116.098	247627	4	Pearl	Katy Perry	POP
10	0.595	0.899	6	-2.935	1	0.107	0.00245	0.0	0.0957	0.594	121.99	212280	4	Hummingbird Heartbeat	Katy Perry	POP
11	0.403	0.48	8	-7.79	1	0.0975	0.869	2.72e-06	0.111	0.253	182.756	241333	4	Not Like The Movies	Katy Perry	POP
12	0.645	0.606	8	-7.157	1	0.0301	0.00796	0.0	0.0751	0.369	126.008	263178	4	If We Ever Meet Again	Katy Perry	POP
13	0.605	0.795	11	-6.086	0	0.0712	0.00153	0.0	0.207	0.263	139.896	203093	4	Starstrukk	Katy Perry	POP
14	0.726	0.63	7	-8.249	1	0.0504	0.00526	0.000354	0.0679	0.763	131.966	251400	4	California Gurls - Passion Pit Main Mix	Katy Perry	POP
15	0.797	0.961	10	-5.043	1	0.212	0.0698	0.00482	0.329	0.352	128.901	348533	4	California Gurls - Armand Van Helden Remix	Katy Perry	POP
16	0.554	0.613	7	-5.987	0	0.0982	0.000195	7.15e-06	0.19	0.572	125.983	387973	4	Teenage Dream - Kaskade Club Remix	Katy Perry	POP
0	0.73	0.851	4	-4.085	0	0.101	0.243	0.000143	0.117	0.578	97.0	343413	4	This Place Hotel (a.k.a. Heartbreak Hotel)	Michael Jackson	POP
1	0.764	0.887	11	-3.726	1	0.0744	0.0816	0.00011	0.847	0.72	118.427	358053	4	Thriller	Michael Jackson	POP
2	0.806	0.816	1	-2.767	1	0.0764	0.0146	0.00933	0.0623	0.519	108.98	253373	4	Blood on the Dance Floor	Michael Jackson	POP
3	0.767	0.712	1	-4.128	0	0.0324	0.0409	8.08e-05	0.132	0.804	124.092	237760	4	Somebody's Watching Me - Single Version	Michael Jackson	POP
4	0.735	0.801	3	-4.525	1	0.0437	0.178	0.000408	0.324	0.331	131.425	280947	4	Dirty Diana - 2012 Remaster	Michael Jackson	POP
5	0.754	0.836	8	-4.703	1	0.0425	0.0179	2.53e-06	0.35	0.965	131.13	293120	4	Torture	Michael Jackson	POP
6	0.844	0.964	4	-3.262	1	0.137	0.332	0.00331	0.0743	0.655	123.574	279427	4	Leave Me Alone - 2012 Remaster	Michael Jackson	POP
7	0.782	0.966	0	-3.894	1	0.115	0.0991	1.1e-05	0.251	0.542	106.529	277960	4	Scream	Michael Jackson	POP
8	0.943	0.68	10	-4.931	1	0.125	0.0289	4.17e-05	0.114	0.578	112.946	418627	4	Dangerous	Michael Jackson	POP
9	0.785	0.825	1	-2.187	1	0.146	0.0373	0.0413	0.0789	0.825	94.064	385867	4	Unbreakable	Michael Jackson	POP
10	0.77	0.816	2	-4.118	1	0.0443	0.0507	1.6e-05	0.281	0.433	110.009	245587	4	Xscape	Michael Jackson	POP
11	0.843	0.738	1	-4.196	1	0.239	0.216	0.0	0.362	0.41	97.02	259120	4	Threatened	Michael Jackson	POP
12	0.819	0.928	4	-4.155	0	0.139	0.0393	2.76e-05	0.618	0.769	103.225	313200	4	Ghosts	Michael Jackson	POP
13	0.743	0.924	4	-3.041	0	0.119	0.261	0.0	0.394	0.548	110.042	218573	4	Blood On The Dance Floor X Dangerous (The White Panda Mash-Up)	Michael Jackson	POP
0	0.634	0.87	5	-5.277	1	0.0362	0.083	0.0	0.18	0.514	116.967	235400	4	Love Never Felt So Good	Michael Jackson	POP
1	0.608	0.756	7	-2.675	0	0.176	0.0784	0.0	0.187	0.55	176.086	245507	4	Chicago	Michael Jackson	POP
2	0.711	0.744	7	-4.007	0	0.068	0.0997	1.91e-05	0.147	0.676	94.523	195480	4	Loving You	Michael Jackson	POP
3	0.538	0.698	11	-4.282	0	0.305	0.0103	3.45e-06	0.134	0.424	118.752	335147	4	A Place With No Name	Michael Jackson	POP
4	0.739	0.96	1	-2.293	1	0.0581	0.146	3.68e-05	0.38	0.722	125.02	255987	4	Slave to the Rhythm	Michael Jackson	POP
5	0.648	0.814	7	-2.968	1	0.0487	0.0582	0.0	0.0799	0.354	99.989	276387	4	Do You Know Where Your Children Are	Michael Jackson	POP
6	0.624	0.701	6	-4.122	0	0.0527	0.177	0.0	0.0506	0.327	124.047	254533	4	Blue Gangsta	Michael Jackson	POP
7	0.773	0.83	2	-3.735	1	0.0421	0.0496	2.79e-05	0.246	0.412	110.01	245253	4	Xscape	Michael Jackson	POP
8	0.608	0.427	7	-9.233	0	0.032	0.828	2.96e-06	0.078	0.58	120.435	199947	4	Love Never Felt So Good (Original Version)	Michael Jackson	POP
9	0.6	0.857	2	-4.19	0	0.0284	0.12	0.00849	0.115	0.827	164.058	283440	4	Chicago (Original Version)	Michael Jackson	POP
10	0.69	0.65	11	-6.767	1	0.0448	0.327	0.000492	0.178	0.635	94.899	182453	4	Loving You (Original Version)	Michael Jackson	POP
11	0.876	0.804	4	-3.727	0	0.061	0.176	0.0	0.0852	0.888	118.752	296027	4	A Place With No Name (Original Version)	Michael Jackson	POP
12	0.963	0.899	8	-4.353	0	0.0822	0.0353	0.000647	0.0758	0.92	120.937	275600	4	Slave to the Rhythm (Original Version)	Michael Jackson	POP
13	0.744	0.831	7	-3.583	1	0.138	0.288	4.49e-06	0.193	0.855	97.094	279253	4	Do You Know Where Your Children Are (Original Version)	Michael Jackson	POP
14	0.898	0.47	2	-4.132	1	0.188	0.0607	4.7e-06	0.316	0.717	124.059	256973	4	Blue Gangsta (Original Version)	Michael Jackson	POP
15	0.79	0.93	7	-2.49	1	0.0752	0.0633	0.00391	0.315	0.625	104.015	344320	4	Xscape (Original Version)	Michael Jackson	POP
16	0.775	0.719	7	-6.212	0	0.0435	0.132	1.79e-06	0.0662	0.712	117.513	246027	4	Love Never Felt So Good	Michael Jackson	POP
0	0.402	0.617	5	-9.863	0	0.0655	0.0275	1.98e-05	0.0768	0.753	73.749	253467	4	Ain't No Sunshine	Michael Jackson	POP
1	0.596	0.847	4	-8.608	0	0.0599	0.474	0.00435	0.136	0.707	103.736	182787	4	I Wanna Be Where You Are	Michael Jackson	POP
2	0.48	0.594	2	-8.612	0	0.0264	0.238	0.0	0.0569	0.79	176.373	231013	4	Girl Don't Take Your Love From Me	Michael Jackson	POP
3	0.466	0.483	4	-8.595	1	0.0247	0.507	0.0	0.122	0.603	89.094	221933	4	In Our Small Way	Michael Jackson	POP
4	0.341	0.585	1	-9.461	1	0.0385	0.0975	0.000103	0.0492	0.72	170.797	204907	4	Got To Be There	Michael Jackson	POP
5	0.623	0.718	10	-8.221	1	0.095	0.241	9.63e-05	0.32	0.968	172.991	154840	4	Rockin' Robin	Michael Jackson	POP
6	0.304	0.488	0	-11.069	1	0.0317	0.303	0.0377	0.0809	0.579	78.817	205027	4	Wings Of My Love	Michael Jackson	POP
7	0.415	0.632	8	-8.892	1	0.0989	0.0351	1.33e-05	0.115	0.498	159.76	222880	4	Maria (You Were The Only One)	Michael Jackson	POP
8	0.643	0.75	0	-8.942	1	0.0527	0.0531	0.0682	0.135	0.845	122.895	174080	4	Love Is Here And Now You're Gone	Michael Jackson	POP
9	0.545	0.633	0	-9.032	1	0.0348	0.471	1e-06	0.0818	0.801	168.831	298960	4	You've Got A Friend	Michael Jackson	POP
10	0.465	0.157	5	-10.776	1	0.0292	0.917	0.000672	0.0965	0.275	136.356	167387	4	Ben - Single Version	Michael Jackson	POP
11	0.479	0.745	10	-6.836	1	0.0614	0.436	0.00163	0.055	0.747	154.83	169573	4	Greatest Show On Earth	Michael Jackson	POP
12	0.624	0.312	9	-11.297	0	0.0283	0.662	0.00149	0.094	0.648	91.239	200533	4	People Make The World Go 'Round	Michael Jackson	POP
13	0.704	0.412	0	-12.628	1	0.0361	0.594	0.000134	0.0938	0.746	88.342	185627	4	We've Got A Good Thing Going	Michael Jackson	POP
14	0.559	0.623	2	-6.908	1	0.0376	0.428	0.000132	0.462	0.848	146.384	181520	4	Everybody's Somebody's Fool	Michael Jackson	POP
15	0.737	0.557	8	-8.344	1	0.0303	0.288	0.000396	0.0688	0.817	105.577	193120	4	My Girl	Michael Jackson	POP
16	0.556	0.755	11	-10.212	0	0.0462	0.448	3.11e-06	0.056	0.751	101.553	211920	4	What Goes Around Comes Around	Michael Jackson	POP
17	0.472	0.444	4	-9.874	1	0.0263	0.591	0.0	0.184	0.654	89.273	225053	4	In Our Small Way - With Countdown	Michael Jackson	POP
18	0.72	0.859	10	-6.245	0	0.0501	0.261	0.000434	0.0727	0.962	130.734	201840	4	Shoo-Be-Doo-Be-Doo-Da-Day	Michael Jackson	POP
19	0.542	0.514	7	-8.983	1	0.0304	0.279	4.14e-06	0.0902	0.783	121.713	159867	4	You Can Cry On My Shoulder - Single Version	Michael Jackson	POP
20	0.782	0.575	3	-9.18	1	0.0416	0.15	0.000413	0.0223	0.931	95.057	169493	4	Don't Let It Get You Down - Original Mix	Michael Jackson	POP
21	0.732	0.345	0	-11.855	0	0.0292	0.457	0.815	0.0669	0.366	112.759	203467	3	You've Really Got A Hold On Me - Original Mix	Michael Jackson	POP
22	0.858	0.599	8	-9.614	1	0.0375	0.132	0.317	0.0912	0.914	113.163	188200	4	Melodie - Original Mix	Michael Jackson	POP
23	0.618	0.614	10	-11.149	1	0.0709	0.14	7.67e-05	0.0751	0.764	152.358	170280	4	Touch The One You Love - Original Mix	Michael Jackson	POP
24	0.576	0.413	0	-11.338	0	0.0345	0.636	0.00166	0.168	0.287	74.966	214320	4	With A Child's Heart	Michael Jackson	POP
25	0.678	0.571	5	-7.766	0	0.033	0.269	0.000123	0.281	0.538	77.279	171307	4	Up Again	Michael Jackson	POP
26	0.518	0.811	5	-6.924	0	0.0396	0.0972	0.0118	0.0564	0.717	137.806	179293	4	All The Things You Are	Michael Jackson	POP
27	0.352	0.573	9	-6.805	1	0.0282	0.289	0.00039	0.138	0.562	168.085	207827	4	"Happy (Love Theme From ""Lady Sings The Blues"")"	Michael Jackson	POP
28	0.17	0.196	10	-13.053	1	0.0313	0.461	0.00163	0.129	0.15	47.139	219733	4	Too Young	Michael Jackson	POP
29	0.356	0.768	0	-8.83	1	0.0807	0.167	0.00084	0.0872	0.92	192.926	174040	3	Doggin' Around	Michael Jackson	POP
30	0.679	0.768	5	-6.358	1	0.0293	0.267	0.000239	0.0755	0.863	111.359	216813	4	Johnny Raven	Michael Jackson	POP
31	0.504	0.813	9	-6.877	0	0.057	0.0368	0.00327	0.236	0.948	152.883	169613	4	Euphoria	Michael Jackson	POP
32	0.61	0.558	8	-8.183	1	0.0246	0.178	0.000448	0.0495	0.727	100.731	218853	4	Morning Glow	Michael Jackson	POP
33	0.386	0.263	4	-11.675	1	0.0274	0.73	0.000402	0.205	0.237	74.498	162520	4	Music And Me	Michael Jackson	POP
34	0.565	0.855	11	-9.058	1	0.0641	0.0894	0.0	0.249	0.792	93.431	227147	4	We're Almost There	Michael Jackson	POP
35	0.654	0.731	8	-10.006	1	0.0365	0.498	0.000704	0.276	0.8	99.632	210147	4	Take Me Back	Michael Jackson	POP
36	0.324	0.48	4	-11.645	1	0.0315	0.565	0.0166	0.126	0.193	81.613	258160	4	One Day In Your Life	Michael Jackson	POP
37	0.696	0.557	7	-11.334	1	0.0364	0.161	0.000223	0.147	0.794	129.954	193320	4	Cinderella Stay Awhile	Michael Jackson	POP
38	0.43	0.695	10	-11.537	1	0.0831	0.164	0.000169	0.155	0.563	174.102	192853	4	We've Got Forever	Michael Jackson	POP
39	0.732	0.677	8	-9.706	1	0.0358	0.545	0.0	0.0929	0.918	110.141	194720	4	Just A Little Bit Of You	Michael Jackson	POP
40	0.262	0.494	4	-8.435	1	0.0454	0.335	0.000163	0.109	0.27	180.004	205333	4	You Are There	Michael Jackson	POP
41	0.622	0.627	10	-9.274	0	0.0794	0.02	0.0	0.289	0.837	161.062	192547	4	Dapper Dan	Michael Jackson	POP
42	0.547	0.604	3	-8.461	1	0.0318	0.281	2.61e-06	0.179	0.681	143.348	161627	4	Dear Michael	Michael Jackson	POP
43	0.461	0.66	4	-9.944	1	0.0353	0.224	3.98e-06	0.239	0.501	99.64	184560	4	I'll Come Home To You	Michael Jackson	POP
44	0.653	0.563	5	-12.259	0	0.0397	0.238	0.156	0.0773	0.779	98.246	179267	4	Girl You're So Together - Original Mix	Michael Jackson	POP
45	0.694	0.639	2	-10.754	1	0.0324	0.148	0.000413	0.244	0.872	117.04	217293	4	Farewell My Summer Love - Original Mix	Michael Jackson	POP
46	0.423	0.448	0	-10.992	1	0.0337	0.247	8.33e-06	0.239	0.553	77.9	201373	4	Call On Me - Original Mix	Michael Jackson	POP
47	0.472	0.732	0	-8.795	1	0.111	0.406	0.0	0.0542	0.611	164.916	160933	4	When I Come Of Age	Michael Jackson	POP
48	0.499	0.68	8	-8.02	1	0.0512	0.194	1.42e-05	0.0673	0.523	151.389	167840	4	Teenage Symphony	Michael Jackson	POP
49	0.509	0.717	7	-6.602	0	0.0319	0.281	2.54e-06	0.175	0.424	134.926	184080	4	I Hear A Symphony	Michael Jackson	POP
0	0.672	0.855	9	-3.764	1	0.0397	0.021	0.0	0.323	0.646	123.056	182200	4	Rain On Me (with Ariana Grande)	Lady Gaga	POP
0	0.696	0.921	0	-3.755	1	0.0363	0.00314	5.24e-05	0.0842	0.714	119.001	294573	4	Bad Romance	Lady Gaga	POP
1	0.623	0.793	11	-6.63	0	0.0462	0.000397	0.0015	0.375	0.36	98.998	274213	4	Alejandro	Lady Gaga	POP
2	0.694	0.801	9	-4.503	0	0.0441	0.00124	0.0	0.479	0.646	119.969	249280	4	Monster	Lady Gaga	POP
3	0.298	0.702	0	-4.181	1	0.0398	0.441	0.0	0.35	0.429	143.828	270813	4	Speechless	Lady Gaga	POP
4	0.639	0.751	0	-6.357	0	0.0324	2.96e-05	4.9e-05	0.163	0.13	120.992	288960	4	Dance In The Dark	Lady Gaga	POP
5	0.824	0.836	3	-5.903	1	0.0404	0.00521	0.000817	0.112	0.716	122.014	220640	4	Telephone	Lady Gaga	POP
6	0.557	0.772	0	-5.068	1	0.0304	0.000318	0.00234	0.176	0.324	99.967	234867	4	So Happy I Could Die	Lady Gaga	POP
7	0.708	0.826	11	-5.164	1	0.0476	0.0327	0.0	0.0868	0.519	96.019	220707	4	Teeth	Lady Gaga	POP
8	0.822	0.739	1	-4.541	0	0.0311	0.0264	4.26e-05	0.181	0.745	118.992	241933	4	Just Dance	Lady Gaga	POP
9	0.894	0.678	6	-5.611	0	0.0523	0.00569	2.43e-06	0.317	0.844	105.024	216333	4	LoveGame	Lady Gaga	POP
10	0.762	0.692	5	-3.973	0	0.0438	0.113	0.0	0.094	0.397	114.906	208307	4	Paparazzi	Lady Gaga	POP
